idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2035_2036,crecimiento_2024_2025_a_2025_2026_pct,crecimiento_2025_2026_a_2026_2027_pct,crecimiento_2026_2027_a_2027_2028_pct,crecimiento_2027_2028_a_2028_2029_pct,crecimiento_2028_2029_a_2029_2030_pct,crecimiento_2029_2030_a_2030_2031_pct,crecimiento_2030_2031_a_2031_2032_pct,crecimiento_2031_2032_a_2032_2033_pct,crecimiento_2032_2033_a_2033_2034_pct,crecimiento_2033_2034_a_2034_2035_pct,crecimiento_2034_2035_a_2035_2036_pct,cambio_absoluto_2024_2025_a_2035_2036,crecimiento_acumulado_2024_2025_a_2035_2036_pct,tasa_media_anual_pct,tendencia_general,observaciones
802238,09DPR2033T,,,,GENERAL ANTONIO DE LEÓN Y LOYOLA,Primaria,Milpa Alta,-98.995582,19.187393,206,203,206,SIIEWEB,Primaria,0.014848987241404167,-0.7763,OK,0900900170399,009,0399,226,207,-0.885,-0.8929,-0.9009,-0.4545,-0.9132,-0.9217,-0.4651,-0.9346,-0.9434,-0.4762,-0.9569,-19.0,-8.4071,-0.7952,Disminución,Diferencia entre SIIEWeb (206) y Estadística 911 (203); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802239,09DJN0488O,,,,INSURGENTES,Preescolar,Milpa Alta,-99.021686,19.187383,191,179,191,SIIEWEB,Preescolar,0.058037070799149194,-2.2366,OK,0900900010331,009,0331,237,185,-2.1097,-2.5862,-2.2124,-2.2624,-1.8519,-2.3585,-2.4155,-1.9802,-2.5253,-2.0725,-2.1164,-52.0,-21.9409,-2.2267,Disminución,Diferencia entre SIIEWeb (191) y Estadística 911 (179); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802240,09DES0334V,,,,QUAUHTZINTEPETL: LUGAR DEL ÁGUILA SAGRADA,Secundaria,MILPA ALTA,-99.088795,19.186228,461,415,461,SIIEWEB,Secundaria,0.05914047466324567,-0.5645,OK,,,,472,443,-0.6356,-0.4264,-0.6424,-0.6466,-0.4338,-0.6536,-0.4386,-0.6608,-0.4435,-0.6682,-0.6726,-29.0,-6.1441,-0.5748,Disminución,Sin asociación a AGEB por coordenadas faltantes o fuera de polígono. Diferencia entre SIIEWeb (461) y Estadística 911 (415); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802241,09DPR2067J,09DPR3118G,,,JOSÉ MARIA MORELOS,Primaria,Milpa Alta,-99.026724,19.195092,880,900,900,911,Primaria,0.06487421610322208,-0.7763,OK,0900900010308,009,0308,985,904,-0.7107,-0.818,-0.7216,-0.8307,-0.733,-0.8439,-0.7447,-0.7503,-0.7559,-0.8705,-0.7684,-81.0,-8.2234,-0.7771,Disminución,Diferencia entre SIIEWeb (880) y Estadística 911 (900); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802242,09DJN1313F,09DJN1381C,,,MA. CRISTINA TOVAR MENA,Preescolar,Milpa Alta,-98.992727,19.214498,331,363,363,911,Preescolar,0.11030082041932543,-2.2366,OK,0900900110435,009,0435,450,351,-2.2222,-2.2727,-2.093,-2.3753,-2.1898,-2.2388,-2.2901,-2.0833,-2.3936,-2.1798,-2.2284,-99.0,-22.0,-2.2334,Disminución,Diferencia entre SIIEWeb (331) y Estadística 911 (363); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802243,09DPR2060Q,09DPR5120I,,,MIGUEL HIDALGO Y COSTILLA,Primaria,Milpa Alta,-99.074905,19.185206,742,767,767,911,Primaria,0.0552872486124126,-0.7763,OK,0900900240204,009,0204,840,771,-0.8333,-0.7203,-0.8464,-0.7317,-0.7371,-0.8663,-0.7491,-0.7547,-0.7605,-0.7663,-0.7722,-69.0,-8.2143,-0.7762,Disminución,Diferencia entre SIIEWeb (742) y Estadística 911 (767); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802244,09DJN0985M,,,,MILPA ALTA,Preescolar,Milpa Alta,-99.016755,19.19724,87,103,103,911,Preescolar,0.03129747797022182,-2.2366,OK,0900900170365,009,0365,128,100,-2.3438,-2.4,-2.459,-1.6807,-2.5641,-1.7544,-2.6786,-1.8349,-2.8037,-1.9231,-1.9608,-28.0,-21.875,-2.2192,Disminución,Diferencia entre SIIEWeb (87) y Estadística 911 (103); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802245,09DJN0234M,,,,NAHUI-OLLIN,Preescolar,Milpa Alta,-98.996973,19.171452,183,198,198,911,Preescolar,0.0601640838650866,-2.2366,OK,0900900360242,009,0242,246,191,-2.439,-2.0833,-2.5532,-2.1834,-2.2321,-2.2831,-1.8692,-2.381,-2.439,-2.0,-2.551,-55.0,-22.3577,-2.2743,Disminución,Diferencia entre SIIEWeb (183) y Estadística 911 (198); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802246,09DPR2042A,09DPR2952Z,,,PINTOR DIEGO RIVERA,Primaria,Milpa Alta,-99.089619,19.192393,875,928,928,911,Primaria,0.06689252504865566,-0.7763,OK,0900900330346,009,0346,1016,933,-0.7874,-0.7937,-0.7,-0.8056,-0.8122,-0.7165,-0.8247,-0.8316,-0.7338,-0.7392,-0.7447,-83.0,-8.1693,-0.7718,Disminución,Diferencia entre SIIEWeb (875) y Estadística 911 (928); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802247,09DPR2053G,09DPR2472R,,,PLAN SEXENAL,Primaria,Milpa Alta,-99.073544,19.186927,1099,1176,1176,911,Primaria,0.0847689757082102,-0.7763,OK,0900900240191,009,0191,1287,1182,-0.6993,-0.7825,-0.7886,-0.7949,-0.8013,-0.727,-0.8137,-0.7383,-0.8264,-0.75,-0.7557,-105.0,-8.1585,-0.7707,Disminución,Diferencia entre SIIEWeb (1099) y Estadística 911 (1176); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802248,09DJN0292C,,,,REFUGIO PACHECO DE LÓPEZ PORTILLO,Preescolar,Milpa Alta,-99.034343,19.174755,124,121,124,SIIEWEB,Preescolar,0.03767851716803403,-2.2366,OK,0900901520628,009,0628,154,120,-2.5974,-2.0,-2.0408,-2.0833,-2.8369,-2.1898,-2.2388,-2.2901,-1.5625,-2.381,-2.439,-34.0,-22.0779,-2.2423,Disminución,Diferencia entre SIIEWeb (124) y Estadística 911 (121); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802249,09DPR4505F,,,,REPÚBLICA DEMOCRATICA ALEMANA,Primaria,Milpa Alta,-99.049781,19.20071,207,214,214,911,Primaria,0.015425646940099473,-0.7763,OK,090090029044A,009,044A,234,215,-0.8547,-0.431,-0.8658,-0.8734,-0.8811,-0.4444,-0.8929,-0.9009,-0.9091,-0.4587,-0.9217,-19.0,-8.1197,-0.7669,Disminución,Diferencia entre SIIEWeb (207) y Estadística 911 (214); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802250,09DJN1428G,,,,TECOXPA,Preescolar,Milpa Alta,-99.005446,19.195842,142,159,159,911,Preescolar,0.04831358249772106,-2.2366,OK,090090017037A,009,037A,197,154,-2.0305,-2.5907,-2.1277,-2.1739,-2.2222,-2.2727,-2.3256,-2.381,-1.8293,-2.4845,-1.9108,-43.0,-21.8274,-2.2138,Disminución,Diferencia entre SIIEWeb (142) y Estadística 911 (159); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802251,09DTV0137Z,,,,TELESECUNDARIA 137,Secundaria,Milpa Alta,-99.068552,19.202323,160,166,166,911,Secundaria,0.02129570237331623,-0.5645,OK,090090015012A,009,012A,170,160,-0.5882,-0.5917,-0.5952,-0.5988,-0.6024,-0.6061,-0.6098,0.0,-1.227,0.0,-0.6211,-10.0,-5.8824,-0.5496,Disminución,Diferencia entre SIIEWeb (160) y Estadística 911 (166); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
